employee_id,age,gender,department,job_role,job_level,years_at_company,monthly_income,overtime,job_satisfaction,engagement_score,performance_rating,attrition,review_month
EMP0041,34,Non-binary,Technology,Software Engineer,4,10,128000,No,3,81,3.8,No,2026-03
EMP0042,56,Female,Operations,Operations Analyst,4,4,115000,Yes,4,64,2.6,No,2026-03
EMP0043,55,Female,Technology,Data Analyst,4,10,137500,No,4,72,3.1,No,2026-10
EMP0044,55,Non-binary,Sales,Business Development,3,3,93000,No,2,70,4.0,No,2026-01
EMP0045,29,Non-binary,Technology,Data Analyst,2,6,74000,Yes,1,40,4.0,Yes,2026-11
EMP0046,25,Non-binary,Technology,Data Analyst,2,4,74000,No,2,59,3.8,No,2026-04
EMP0047,40,Female,Operations,Coordinator,1,1,43000,No,3,69,4.8,No,2026-03
EMP0048,56,Female,HR,Recruiter,2,4,71000,No,3,67,3.5,Yes,2026-07
EMP0049,34,Female,Operations,Operations Analyst,3,7,103500,No,3,72,2.7,No,2026-05
EMP0050,38,Male,Finance,Finance Manager,4,6,127000,Yes,3,77,4.0,No,2026-05
EMP0051,26,Male,Operations,Team Lead,3,5,91500,No,4,67,4.2,No,2026-03
EMP0052,25,Non-binary,Technology,IT Support,2,4,69000,No,2,61,3.0,No,2026-01
EMP0053,44,Non-binary,Technology,Software Engineer,4,11,118500,No,1,54,2.3,Yes,2026-02
EMP0054,30,Male,Technology,Data Analyst,2,5,82000,Yes,2,66,4.2,No,2026-12
EMP0055,47,Non-binary,HR,HR Analyst,2,3,82500,Yes,3,80,3.8,No,2026-07
EMP0056,46,Non-binary,Operations,Team Lead,4,5,123000,No,2,66,3.4,No,2026-09
EMP0057,35,Male,Operations,Operations Analyst,2,7,83000,No,4,80,3.4,No,2026-06
EMP0058,28,Male,Technology,Software Engineer,3,8,95000,No,3,81,2.8,No,2026-11
EMP0059,49,Female,Technology,IT Support,1,5,61500,No,2,75,3.6,No,2026-01
EMP0060,22,Non-binary,Operations,Operations Analyst,1,0,56000,No,3,69,3.5,No,2026-02
EMP0061,34,Non-binary,Operations,Operations Analyst,2,3,66500,No,3,85,1.5,No,2026-08
EMP0062,41,Male,HR,HR Business Partner,5,8,147500,No,3,84,2.5,No,2026-05
EMP0063,38,Non-binary,Technology,Data Analyst,1,2,36500,No,2,62,3.2,No,2026-12
EMP0064,36,Female,Sales,Account Executive,2,9,87500,Yes,2,59,3.6,Yes,2026-03
EMP0065,57,Female,Finance,Accountant,4,9,123000,No,3,95,3.5,No,2026-03
EMP0066,54,Male,Technology,IT Support,2,1,80500,No,4,70,3.5,No,2026-05
EMP0067,27,Male,Operations,Coordinator,5,7,156000,No,3,81,3.5,No,2026-01
EMP0068,34,Female,Technology,IT Support,2,4,81000,No,3,78,3.4,No,2026-04
EMP0069,44,Male,Sales,Account Executive,4,7,118500,Yes,3,86,3.9,No,2026-01
EMP0070,47,Female,Operations,Team Lead,1,0,57000,No,3,71,3.6,No,2026-09
EMP0071,32,Male,Sales,Business Development,4,6,122500,No,2,73,4.3,Yes,2026-06
EMP0072,40,Male,Technology,Data Analyst,3,9,112500,Yes,3,65,2.8,No,2026-10
EMP0073,42,Non-binary,Finance,Accountant,5,5,149500,No,2,70,2.6,No,2026-04
EMP0074,31,Female,Finance,Accountant,1,2,47500,No,2,73,3.3,No,2026-03
EMP0075,55,Male,Sales,Business Development,5,9,147000,Yes,3,65,3.8,No,2026-07
EMP0076,48,Non-binary,Technology,Data Analyst,4,8,123500,No,4,81,4.9,No,2026-12
EMP0077,53,Male,HR,HR Analyst,1,0,51000,No,4,77,4.9,No,2026-11
EMP0078,50,Male,Technology,IT Support,2,5,85500,No,1,75,2.3,No,2026-01
EMP0079,34,Non-binary,Sales,Business Development,1,0,36000,Yes,3,77,4.4,No,2026-05
EMP0080,56,Male,Operations,Operations Analyst,3,4,98500,Yes,2,66,2.7,No,2026-09
EMP0081,55,Female,Sales,Account Executive,1,0,48500,No,3,89,3.2,No,2026-01
EMP0082,35,Female,Operations,Team Lead,3,3,92500,Yes,3,77,2.3,Yes,2026-02
EMP0083,33,Female,Finance,Accountant,1,0,47500,No,4,93,3.0,No,2026-03
EMP0084,39,Male,Sales,Account Executive,2,7,78000,Yes,3,76,2.8,No,2026-03
EMP0085,28,Non-binary,Operations,Operations Analyst,1,4,50000,No,3,79,2.8,No,2026-09
EMP0086,52,Female,Finance,Accountant,1,0,44500,No,4,88,3.9,No,2026-09
EMP0087,32,Non-binary,Finance,Finance Manager,1,2,43500,No,3,81,3.6,No,2026-05
EMP0088,50,Female,Sales,Account Executive,2,4,74000,No,3,73,4.3,No,2026-12
EMP0089,26,Non-binary,Sales,Account Executive,3,6,105500,No,1,51,3.1,No,2026-12
EMP0090,58,Female,Sales,Sales Manager,1,0,56500,Yes,4,79,3.6,No,2026-12
EMP0091,37,Non-binary,Operations,Coordinator,3,4,98500,No,2,74,2.4,No,2026-10
EMP0092,30,Non-binary,Operations,Coordinator,3,6,97000,Yes,4,62,3.3,No,2026-06
EMP0093,31,Male,Sales,Business Development,1,4,47000,No,3,72,2.6,Yes,2026-02
EMP0094,29,Non-binary,Technology,Software Engineer,4,8,125500,Yes,4,76,4.0,No,2026-02
EMP0095,33,Female,Finance,Financial Analyst,1,0,54000,No,2,83,4.1,No,2026-09
EMP0096,54,Male,HR,HR Analyst,1,0,54000,Yes,4,79,3.6,No,2026-01
EMP0097,41,Female,Technology,IT Support,1,0,57500,No,4,96,3.2,No,2026-11
EMP0098,36,Male,Finance,Finance Manager,3,3,104000,No,2,61,3.2,No,2026-01
EMP0099,43,Male,Sales,Sales Manager,1,2,56000,Yes,2,70,2.0,No,2026-04
EMP0100,33,Female,Operations,Team Lead,1,0,55500,Yes,4,69,5,Yes,2026-05
EMP0101,32,Female,Sales,Account Executive,5,8,148500,Yes,4,60,3.8,No,2026-06
EMP0102,52,Male,Finance,Financial Analyst,1,0,47500,No,3,72,3.8,No,2026-11
EMP0103,28,Male,Operations,Coordinator,5,8,147500,No,4,95,2.6,No,2026-12
EMP0104,24,Non-binary,Finance,Financial Analyst,1,1,45000,Yes,2,66,4.2,No,2026-03
EMP0105,55,Non-binary,Sales,Sales Manager,2,0,64500,Yes,4,70,2.9,No,2026-05
EMP0106,38,Female,Operations,Team Lead,2,3,65000,No,3,90,4.1,No,2026-04
EMP0107,31,Non-binary,Sales,Account Executive,1,0,54500,Yes,1,49,2.1,No,2026-03
EMP0108,36,Male,Finance,Finance Manager,2,7,83500,No,3,71,4.2,No,2026-01
EMP0109,57,Male,Technology,Software Engineer,1,0,54500,Yes,2,40,2.2,No,2026-12
EMP0110,31,Female,HR,HR Analyst,1,4,45000,No,4,98,4.9,No,2026-11
EMP0111,22,Male,Operations,Team Lead,1,0,50000,No,3,54,3.3,No,2026-05
EMP0112,35,Male,Finance,Financial Analyst,5,5,140000,Yes,3,72,1.8,Yes,2026-03
EMP0113,23,Male,HR,HR Analyst,2,2,68000,No,2,66,3.3,No,2026-03
EMP0114,39,Female,Operations,Team Lead,4,7,133000,No,4,74,3.7,No,2026-11
EMP0115,27,Female,Technology,Software Engineer,3,4,98500,Yes,3,69,3.4,No,2026-04
EMP0116,32,Non-binary,Technology,Data Analyst,4,10,134000,No,4,94,3.6,No,2026-08
EMP0117,54,Non-binary,Finance,Financial Analyst,1,3,46000,No,2,59,2.8,Yes,2026-07
EMP0118,38,Male,Sales,Account Executive,2,4,74000,Yes,3,60,3.9,No,2026-01
EMP0119,57,Non-binary,Technology,IT Support,3,6,100000,No,4,75,3.0,No,2026-06
EMP0120,35,Non-binary,Sales,Business Development,3,5,107000,No,3,68,2.6,Yes,2026-02
EMP0121,49,Non-binary,Finance,Finance Manager,2,3,75000,No,3,98,2.7,No,2026-03
EMP0122,43,Non-binary,Sales,Business Development,4,10,127000,No,3,72,4.4,No,2026-10
EMP0123,24,Male,Finance,Finance Manager,3,4,95000,No,4,92,4.1,No,2026-07
EMP0124,41,Female,Operations,Coordinator,2,0,82500,No,2,69,2.4,No,2026-04
EMP0125,42,Female,Technology,Data Analyst,1,0,52000,No,3,90,3.9,No,2026-08
EMP0126,26,Female,Sales,Account Executive,1,0,47000,Yes,4,90,3.7,No,2026-12
EMP0127,34,Male,Technology,Data Analyst,1,2,58000,No,3,88,3.9,No,2026-08
EMP0128,57,Male,Finance,Finance Manager,1,0,37000,Yes,3,58,3.7,Yes,2026-04
EMP0129,48,Non-binary,Sales,Business Development,3,4,99500,Yes,3,84,3.8,No,2026-09
EMP0130,51,Non-binary,Technology,IT Support,3,6,100000,Yes,4,67,2.9,No,2026-02
EMP0131,34,Non-binary,Technology,IT Support,3,4,98000,No,4,73,3.0,No,2026-08
EMP0132,57,Male,Technology,Software Engineer,3,4,90500,Yes,1,65,3.3,No,2026-05
EMP0133,30,Male,Operations,Operations Analyst,5,8,148000,Yes,4,69,2.4,No,2026-12
EMP0134,36,Non-binary,Technology,Software Engineer,4,12,128000,No,3,72,3.2,No,2026-06
EMP0135,22,Female,Technology,Data Analyst,1,2,48500,No,3,77,3.4,No,2026-01
EMP0136,35,Non-binary,Finance,Accountant,2,4,82500,No,3,93,5,No,2026-02
EMP0137,42,Female,Operations,Operations Analyst,3,6,102500,No,3,70,3.3,No,2026-11
EMP0138,33,Male,Operations,Coordinator,2,2,71500,No,2,60,3.3,No,2026-10
EMP0139,55,Non-binary,HR,HR Analyst,2,1,68500,No,4,88,4.4,No,2026-07
EMP0140,44,Female,Technology,Software Engineer,3,0,91000,Yes,3,87,3.8,Yes,2026-10
EMP0141,42,Female,Finance,Financial Analyst,3,7,88500,Yes,3,55,2.9,No,2026-09
EMP0142,26,Male,Operations,Operations Analyst,3,6,108500,No,3,88,3.8,No,2026-09
EMP0143,57,Male,Technology,IT Support,2,0,67000,Yes,4,55,3.2,No,2026-04
EMP0144,56,Male,Finance,Accountant,4,9,129000,No,1,70,2.4,Yes,2026-07
EMP0145,35,Male,Sales,Sales Manager,4,9,133000,No,3,68,3.2,No,2026-09
EMP0146,51,Male,Operations,Team Lead,2,7,75500,No,3,75,3.9,No,2026-12
EMP0147,48,Male,Technology,IT Support,2,4,74500,No,2,81,3.7,No,2026-10
EMP0148,35,Non-binary,Technology,IT Support,2,3,85000,No,3,70,3.9,No,2026-10
EMP0149,40,Non-binary,Technology,Data Analyst,1,0,55500,No,4,91,3.7,No,2026-02
EMP0150,48,Non-binary,Sales,Account Executive,4,6,122000,No,3,62,2.2,No,2026-12
EMP0151,58,Non-binary,Technology,IT Support,3,1,98000,No,4,83,3.6,No,2026-06
EMP0152,47,Non-binary,Technology,Software Engineer,4,9,130000,No,3,72,4.5,No,2026-07
EMP0153,47,Non-binary,Sales,Business Development,2,2,80000,No,2,75,4.2,Yes,2026-07
EMP0154,46,Non-binary,Sales,Account Executive,2,5,81500,No,4,84,2.9,No,2026-12
EMP0155,25,Male,Technology,Software Engineer,1,1,53500,Yes,4,57,3.7,No,2026-02
EMP0156,47,Male,Operations,Coordinator,4,5,120000,No,4,81,4.4,No,2026-07
EMP0157,46,Female,Operations,Team Lead,2,4,78500,Yes,4,73,2.8,No,2026-10
EMP0158,33,Non-binary,Sales,Sales Manager,2,9,76000,No,3,70,3.5,No,2026-12
EMP0159,37,Female,Sales,Account Executive,4,6,119000,No,3,92,4.4,No,2026-02
EMP0160,34,Non-binary,Technology,IT Support,3,2,102500,No,3,78,4.8,No,2026-07
EMP0161,30,Female,Technology,Software Engineer,2,5,73500,Yes,4,85,4.4,No,2026-11
EMP0162,50,Female,Technology,Software Engineer,5,7,137000,No,3,70,3.0,No,2026-03
EMP0163,38,Male,Finance,Accountant,1,0,60000,No,3,78,3.9,No,2026-07
EMP0164,52,Male,Technology,Software Engineer,2,3,79000,Yes,3,67,3.9,No,2026-08
EMP0165,50,Male,HR,HR Analyst,3,6,99000,Yes,3,57,2.7,No,2026-10
EMP0166,24,Male,Operations,Team Lead,2,3,76000,Yes,1,51,2.6,No,2026-12
EMP0167,50,Male,Technology,Data Analyst,3,3,97000,No,1,66,2.6,No,2026-09
EMP0168,26,Male,Operations,Team Lead,1,3,53000,No,2,67,2.7,No,2026-08
EMP0169,51,Non-binary,Operations,Coordinator,2,3,68500,Yes,2,63,3.7,No,2026-11
EMP0170,47,Male,Operations,Coordinator,3,1,88500,No,1,63,2.9,Yes,2026-04
EMP0171,57,Female,Technology,Data Analyst,4,6,120500,No,3,78,2.6,No,2026-03
EMP0172,38,Female,Technology,Software Engineer,1,3,51000,Yes,3,65,4.0,No,2026-04
EMP0173,32,Non-binary,Sales,Business Development,3,4,95000,No,2,72,4.1,No,2026-03
EMP0174,25,Female,Operations,Team Lead,1,3,62000,No,4,76,4.0,No,2026-04
EMP0175,46,Non-binary,Sales,Account Executive,1,6,59500,No,3,87,3.9,No,2026-05
EMP0176,45,Male,Operations,Team Lead,5,8,150000,Yes,3,77,3.1,Yes,2026-07
EMP0177,45,Non-binary,Sales,Business Development,2,5,74000,No,3,79,4.5,No,2026-12
EMP0178,54,Female,Technology,Software Engineer,3,3,83500,Yes,3,66,3.2,No,2026-06
EMP0179,22,Female,Finance,Financial Analyst,1,2,48000,No,1,62,3.7,No,2026-01
EMP0180,58,Non-binary,Sales,Account Executive,2,1,79000,No,1,53,2.8,No,2026-01
EMP0181,58,Female,Technology,Software Engineer,3,4,104000,No,4,80,4.3,No,2026-09
EMP0182,56,Male,Technology,IT Support,5,7,148000,No,4,76,3.7,No,2026-02
EMP0183,42,Non-binary,Sales,Sales Manager,2,1,67500,No,2,68,2.4,No,2026-02
EMP0184,48,Non-binary,Sales,Sales Manager,4,10,128000,No,3,80,3.7,No,2026-10
EMP0185,25,Male,Operations,Team Lead,3,5,105500,No,2,60,2.6,No,2026-09
EMP0186,33,Non-binary,Technology,IT Support,1,0,53000,No,3,55,4.6,No,2026-03
EMP0187,52,Non-binary,Finance,Financial Analyst,3,8,102000,Yes,4,52,4.7,Yes,2026-12
EMP0188,45,Non-binary,Technology,Software Engineer,3,6,103000,Yes,2,72,3.5,No,2026-07
EMP0189,34,Male,Technology,Data Analyst,1,5,48500,No,3,75,1.9,No,2026-01
EMP0190,26,Non-binary,HR,HR Business Partner,3,6,113500,No,3,72,1.8,No,2026-11
EMP0191,42,Non-binary,Technology,Data Analyst,3,7,105500,No,3,73,2.0,No,2026-06
EMP0192,46,Non-binary,Sales,Sales Manager,5,11,144500,No,1,66,3.5,No,2026-09
EMP0193,58,Male,Sales,Account Executive,2,0,68500,No,4,76,4.4,No,2026-10
EMP0194,57,Female,Operations,Coordinator,1,1,46500,No,2,76,2.9,No,2026-01
EMP0195,42,Female,Finance,Accountant,3,5,95500,No,4,92,3.9,No,2026-09
EMP0196,51,Non-binary,Sales,Business Development,2,6,86500,Yes,2,64,3.0,No,2026-07
EMP0197,57,Male,Technology,Software Engineer,3,3,98000,Yes,4,67,3.0,Yes,2026-09
EMP0198,42,Male,Technology,Data Analyst,1,2,55000,No,3,70,2.8,No,2026-03
EMP0199,38,Female,Sales,Account Executive,1,5,54500,No,1,62,3.7,No,2026-02
EMP0200,26,Female,HR,HR Business Partner,3,5,103000,No,1,63,3.7,No,2026-06
EMP0201,23,Female,Operations,Operations Analyst,2,3,70500,No,3,68,4.9,No,2026-02
EMP0202,37,Male,Finance,Finance Manager,5,8,155500,No,4,85,3.2,No,2026-08
EMP0203,43,Female,Operations,Operations Analyst,3,13,107500,No,4,90,3.5,No,2026-08
EMP0204,50,Female,Technology,Software Engineer,1,0,45500,No,3,85,2.6,No,2026-08
EMP0205,42,Female,Technology,IT Support,4,8,125500,Yes,4,79,3.3,No,2026-01
EMP0206,32,Female,Sales,Account Executive,1,0,47000,No,3,89,3.8,No,2026-05
EMP0207,43,Male,Sales,Account Executive,5,6,142500,Yes,3,72,3.5,No,2026-11
EMP0208,42,Male,Technology,Data Analyst,2,0,74000,No,3,68,4.0,No,2026-06
EMP0209,25,Non-binary,Finance,Accountant,3,2,95500,No,3,85,1.3,No,2026-01
EMP0210,50,Non-binary,Operations,Operations Analyst,1,2,63000,No,3,67,3.1,No,2026-11
EMP0211,55,Female,Sales,Account Executive,1,1,54000,No,3,76,3.6,No,2026-06
EMP0212,53,Non-binary,Technology,Software Engineer,2,9,78500,Yes,1,47,3.0,No,2026-03
EMP0213,36,Male,Finance,Finance Manager,3,3,100000,Yes,2,59,3.2,No,2026-06
EMP0214,40,Non-binary,Operations,Coordinator,1,2,60500,No,3,73,3.8,No,2026-11
EMP0215,29,Female,Technology,Data Analyst,1,0,49500,No,4,76,3.7,No,2026-12
EMP0216,36,Female,HR,HR Business Partner,4,9,121500,No,3,80,3.8,No,2026-12
EMP0217,43,Non-binary,HR,HR Analyst,1,0,56000,No,2,66,3.6,No,2026-11
EMP0218,27,Female,Operations,Coordinator,3,7,99000,No,2,74,1.9,No,2026-12
EMP0219,50,Male,Finance,Finance Manager,2,5,79500,No,3,85,3.0,No,2026-03
EMP0220,50,Non-binary,Finance,Finance Manager,2,5,67000,No,2,94,2.9,No,2026-11
EMP0221,40,Non-binary,Technology,IT Support,2,7,87000,No,3,72,2.8,No,2026-01
EMP0222,31,Non-binary,Finance,Financial Analyst,1,2,43500,No,3,82,4.5,No,2026-11
EMP0223,54,Female,Operations,Team Lead,3,2,103000,Yes,4,72,3.6,No,2026-12
EMP0224,50,Non-binary,Operations,Operations Analyst,2,3,70000,Yes,3,71,2.7,No,2026-08
EMP0225,46,Female,Sales,Sales Manager,3,5,101500,No,2,67,3.0,No,2026-01
EMP0226,46,Male,Operations,Operations Analyst,2,3,71000,No,4,88,4.4,No,2026-08
EMP0227,36,Female,Finance,Financial Analyst,2,4,70000,No,4,82,3.0,No,2026-05
EMP0228,35,Male,Technology,Software Engineer,1,6,70500,Yes,1,44,3.5,No,2026-11
EMP0229,34,Male,HR,HR Business Partner,3,3,99000,No,4,78,3.0,No,2026-09
EMP0230,39,Male,Technology,IT Support,2,0,67000,No,4,83,2.9,No,2026-06
EMP0231,24,Non-binary,HR,HR Analyst,3,2,89500,No,4,88,5,No,2026-06
EMP0232,29,Female,Operations,Operations Analyst,2,7,92000,No,4,70,2.7,No,2026-01
EMP0233,24,Male,Operations,Operations Analyst,3,4,103000,No,3,76,3.7,No,2026-12
EMP0234,37,Male,Technology,Software Engineer,2,1,70000,No,4,90,4.0,No,2026-05
EMP0235,50,Non-binary,Technology,Software Engineer,1,5,56500,Yes,3,55,3.5,Yes,2026-09
EMP0236,33,Non-binary,Operations,Operations Analyst,2,3,77000,No,3,78,3.3,No,2026-08
EMP0237,49,Non-binary,Technology,Software Engineer,3,9,111000,No,3,79,3.5,No,2026-10
EMP0238,44,Male,HR,Recruiter,2,4,69000,No,2,74,3.7,No,2026-04
EMP0239,39,Female,Finance,Finance Manager,1,0,37500,No,3,55,2.2,No,2026-03
EMP0240,41,Male,Sales,Sales Manager,4,4,116000,No,3,88,4.5,No,2026-07
EMP0241,37,Non-binary,Finance,Accountant,3,11,111500,Yes,2,70,3.9,No,2026-09
EMP0242,36,Female,Finance,Finance Manager,4,7,120500,No,2,70,2.8,No,2026-05
EMP0243,49,Female,Technology,Software Engineer,4,8,133500,Yes,1,72,3.6,No,2026-04
EMP0244,32,Male,Finance,Accountant,4,9,126000,No,3,87,2.7,No,2026-07
EMP0245,34,Male,Sales,Account Executive,3,5,91000,No,3,68,2.5,No,2026-10
EMP0246,30,Non-binary,Operations,Operations Analyst,4,9,129500,No,3,78,2.3,No,2026-09
EMP0247,50,Female,Sales,Account Executive,3,8,107500,Yes,2,45,4.0,No,2026-04
EMP0248,42,Male,Technology,IT Support,3,0,100000,No,3,65,4.4,No,2026-12
EMP0249,23,Non-binary,Technology,Data Analyst,1,2,62000,Yes,3,75,3.3,No,2026-01
EMP0250,51,Male,Operations,Team Lead,3,6,100500,No,3,51,2.2,No,2026-03
EMP0251,40,Male,Finance,Financial Analyst,4,4,127500,No,4,87,4.5,No,2026-04
EMP0252,35,Male,Finance,Accountant,2,3,73000,Yes,2,71,3.8,Yes,2026-07
EMP0253,58,Female,Technology,Software Engineer,4,4,130500,No,3,86,4.4,No,2026-04
EMP0254,46,Male,Technology,Software Engineer,2,2,79500,Yes,3,60,2.4,No,2026-10
EMP0255,48,Male,Sales,Account Executive,3,7,98500,No,4,92,2.8,No,2026-08
EMP0256,43,Male,Operations,Operations Analyst,1,0,47500,Yes,2,63,3.3,No,2026-12
EMP0257,58,Male,HR,HR Business Partner,2,2,74500,Yes,3,73,3.4,No,2026-06
EMP0258,31,Female,Operations,Operations Analyst,2,3,77500,No,4,86,3.3,No,2026-03
EMP0259,27,Non-binary,Technology,Data Analyst,2,7,69000,No,4,88,4.1,No,2026-08
EMP0260,51,Non-binary,Finance,Finance Manager,4,5,120500,No,3,73,3.0,No,2026-12
EMP0261,40,Non-binary,Finance,Finance Manager,3,7,100000,No,2,80,3.0,No,2026-11
EMP0262,37,Non-binary,Operations,Team Lead,2,4,69500,Yes,2,65,4.1,No,2026-08
EMP0263,46,Non-binary,Operations,Team Lead,3,7,97500,Yes,2,54,2.3,Yes,2026-08
EMP0264,33,Female,Technology,IT Support,2,0,73000,No,2,73,3.0,No,2026-09
EMP0265,37,Male,HR,HR Business Partner,1,3,64000,Yes,2,69,3.6,No,2026-01
EMP0266,51,Male,Technology,Software Engineer,4,7,125500,No,4,86,3.9,No,2026-05
EMP0267,57,Male,Sales,Sales Manager,3,4,89000,No,4,62,3.0,No,2026-06
EMP0268,37,Male,Operations,Coordinator,3,3,87500,No,4,92,3.3,No,2026-10
EMP0269,29,Non-binary,Sales,Business Development,2,8,92000,No,1,64,2.9,No,2026-02
EMP0270,55,Female,HR,HR Business Partner,2,4,76500,No,2,78,3.7,No,2026-02
EMP0271,41,Non-binary,Technology,Data Analyst,1,4,59500,Yes,2,47,2.8,No,2026-10
EMP0272,28,Male,Operations,Operations Analyst,4,7,125000,Yes,2,50,3.9,Yes,2026-11
EMP0273,43,Female,Sales,Business Development,2,3,86500,No,3,74,3.7,No,2026-12
EMP0274,43,Male,Operations,Coordinator,2,2,73000,Yes,3,71,2.5,Yes,2026-11
EMP0275,51,Male,Operations,Team Lead,3,3,96000,No,2,53,2.9,No,2026-09
EMP0276,54,Female,Technology,Software Engineer,1,6,56000,No,3,87,3.4,No,2026-05
EMP0277,45,Female,Operations,Team Lead,3,0,85500,No,3,64,2.9,No,2026-04
EMP0278,55,Male,Operations,Team Lead,2,1,72000,No,3,62,3.4,No,2026-12
EMP0279,44,Male,Sales,Account Executive,3,5,97000,Yes,4,56,3.4,No,2026-04
EMP0280,38,Female,Technology,IT Support,4,8,113000,No,1,52,4.5,Yes,2026-12
EMP0281,35,Female,Finance,Finance Manager,2,1,72000,No,4,82,4.3,No,2026-09
EMP0282,31,Male,Operations,Team Lead,3,1,97000,Yes,1,62,3.0,Yes,2026-04
EMP0283,51,Female,Technology,Software Engineer,3,9,96500,No,1,73,4.7,Yes,2026-08
EMP0284,43,Female,Technology,IT Support,4,5,132000,Yes,3,52,4.0,No,2026-03
EMP0285,58,Non-binary,Operations,Coordinator,3,7,93000,No,4,84,3.9,No,2026-05
EMP0286,25,Non-binary,Sales,Account Executive,2,0,72500,Yes,4,80,4.1,No,2026-11
EMP0287,25,Non-binary,Operations,Team Lead,2,4,78000,Yes,3,64,3.4,No,2026-09
EMP0288,38,Female,Finance,Financial Analyst,4,6,111500,No,2,83,2.6,Yes,2026-04
EMP0289,56,Non-binary,Sales,Business Development,3,3,92500,Yes,3,63,3.9,No,2026-01
EMP0290,39,Female,Sales,Business Development,1,0,44500,No,4,90,2.7,No,2026-06
EMP0291,56,Female,Sales,Account Executive,2,4,82500,Yes,3,69,3.2,No,2026-06
EMP0292,41,Male,HR,HR Business Partner,2,6,84500,Yes,4,66,2.7,No,2026-05
EMP0293,57,Female,Sales,Account Executive,1,3,48500,Yes,2,66,3.5,No,2026-11
EMP0294,50,Male,HR,HR Business Partner,1,2,64000,No,1,51,3.1,No,2026-04
