asset_id,modality,subject,quality_score,revisions,ai_hours,estimated_manual_hours,hours_saved,approved_first_pass
GA-090,Animation,GK,86.0,1,4.5,10.8,6.3,0
GA-091,Video,Science,77.7,3,6.9,23.2,16.3,0
GA-092,Lecture,GK,88.2,0,5.7,10.6,4.9,1
GA-093,Video,GK,87.0,0,1.5,3.6,2.1,1
GA-094,Voice,EVS,95.7,0,6.3,20.1,13.8,1
GA-095,Animation,Mathematics,82.6,3,1.3,3.5,2.2,0
GA-096,Image,EVS,94.5,0,6.3,21.5,15.2,1
GA-097,Lecture,Mathematics,86.1,1,2.2,4.2,2.0,0
GA-098,Voice,Mathematics,87.6,1,6.4,12.8,6.4,0
GA-099,Image,Science,82.3,0,6.5,13.0,6.5,1
GA-100,Animation,Mathematics,85.9,0,3.9,11.6,7.7,1
GA-101,Video,Science,85.6,2,1.9,5.9,4.0,0
GA-102,Image,Science,88.9,0,3.6,8.9,5.3,1
GA-103,Voice,GK,86.7,0,1.3,3.2,1.9,1
GA-104,Video,Hindi,87.3,3,4.2,12.7,8.5,0
GA-105,Lecture,Hindi,84.3,0,6.7,17.9,11.2,1
GA-106,Voice,GK,92.4,0,7.0,22.4,15.4,1
GA-107,Video,Hindi,86.3,1,6.3,17.2,10.9,0
GA-108,Video,Hindi,93.8,0,4.5,10.5,6.0,1
GA-109,Lecture,Mathematics,91.5,0,6.0,13.2,7.2,1
GA-110,Animation,Mathematics,88.1,1,4.5,13.8,9.3,0
GA-111,Animation,Mathematics,87.7,0,4.2,7.3,3.1,1
GA-112,Lecture,Mathematics,91.6,0,3.7,10.0,6.3,1
GA-113,Lecture,English,90.0,0,3.4,10.1,6.7,1
GA-114,Voice,English,90.5,1,2.0,5.3,3.3,0
GA-115,Video,Hindi,93.2,1,2.7,6.9,4.2,0
GA-116,Image,Hindi,89.3,0,6.9,15.4,8.5,1
GA-117,Image,English,93.0,0,6.0,11.6,5.6,1
GA-118,Animation,GK,91.1,0,1.9,3.3,1.4,1
GA-119,Animation,EVS,91.2,0,3.5,12.0,8.5,1
GA-120,Animation,English,87.2,1,4.5,12.3,7.8,0
